Constituency,SN,Candidate,Party,Votes
Shirahatti,13,SANTOSH GOURAVVA HIREMANI,Independent,458
Shirahatti,14,HANUMANTAPPA PEERAPPA KORAVAR,Independent,445
Shirahatti,15,NOTA,None of the Above,1642
Gadag,1,ANIL. P. MENASINAKAI,Bharatiya Janata Party,74828
Gadag,2,GOVINDAGOUDRA VENKANAGOUDRA RANGANAGOUDA,Janata Dal (Secular),698
Gadag,3,DODDAMANI PEERSAB,Aam Aadmi Party,493
Gadag,4,H. K. PATIL,Indian National Congress,89958
Gadag,5,ANAND HANDI,Karnataka Rashtra Samithi,536
Gadag,6,CHANDRASHEKHAR DESAI,Rani Chennamma Party,72
Gadag,7,POOJA MALLAPPA BEVOOR,Indian Movement Party,98
Gadag,8,SACHINKUMAR KARJEKANNAVAR,Uttama Prajaakeeya Party,276
Gadag,9,B. M. PATIL,Independent,95
Gadag,10,BASAVARAJ MALODE,Independent,106
Gadag,11,MALLIKARJUNAGOUDA SHANKARGOUDA PARVATAGOUDRA,Independent,283
Gadag,12,RUDRAPPA BASAPPA KUMBAR,Independent,729
Gadag,13,VISHWANATH KHANAPUR,Independent,276
Gadag,14,VEERABHADRAPPA VEERAPPA KABBINAD,Independent,241
Gadag,15,NOTA,None of the Above,1543
Ron,1,KALAKAPPA GURUSHANTAPPA BANDI,Bharatiya Janata Party,70177
Ron,2,GURUPADAGOUDA SANGANAGOUDA PATIL,Indian National Congress,94865
Ron,3,ANEKAL DODDAIAH,Aam Aadmi Party,8839
Ron,4,MAKTUMSAB YAMANOORASAB MUDHOL,Janata Dal (Secular),652
Ron,5,KUMAR ANDAPPA HAKARI,Shiv Sena (Uddhav Balasaheb Thackeray),122
Ron,6,ABDUL KHADAR SAB A,Independent,98
Ron,7,DEVENDRAPPA BALAPPA OLEKAR,Independent,124
Ron,8,BIBIJAN RAJESAB DARAGAD,Independent,256
Ron,9,SHIVANAND SHANKRAPPA RATHOD,Independent,1463
Ron,10,NOTA,None of the Above,1600
Nargund,1,C. C. PATIl,Bharatiya Janata Party,72835
Nargund,2,B. R. YAVAGAL,Indian National Congress,71044
Nargund,3,RAMAPPA DYAMAPPA HUVANNAVAR,Aam Aadmi Party,606
Nargund,4,R. N. PATIL,Janata Dal (Secular),653
Nargund,5,HANAMANT YALLAPPA MADAR,Bahujan Samaj Party,101
Nargund,6,RUDRAYYA. GADIGEYYA. SUREBAN.,Indian Movement Party,39
Nargund,7,VEERANAGOUDA. SHIVANAGOUDA. MUGANUR,Karnataka Rashtra Samithi,142
Nargund,8,UMESH FAKEERAPPA TALAWAR,Independent,41
Nargund,9,M. Y. NAYAK,Independent,51
Nargund,10,DR|| MUTTU SURAKOD (MADAR),Independent,81
Nargund,11,RAMAPPA. HUJARATTI,Independent,104
Nargund,12,VASANAGOUDA. NINGANAGOUDA. BHANDI.,Independent,102
Nargund,13,VEERESH SOBARADAMATH,Independent,1663
Nargund,14,SHIVANAND. SHIDDAPPA. MAYANNAVAR.,Independent,1005
Nargund,15,NOTA,None of the Above,1769
Navalgund,1,KALLAPPA NAGAPPA GADDI,Janata Dal (Secular),6914
Navalgund,2,NINGARADDI HANAMARADDI KONARADDI,Indian National Congress,86081
Navalgund,3,VIJAYKUMAR SANGAPPA,Aam Aadmi Party,739
Navalgund,4,SHANKAR BASANAGOUDA PATIL MUNENAKOPPA,Bharatiya Janata Party,63882
Navalgund,5,HANUMANTAPPA YALLAPPA MEGALAMANI,Bahujan Samaj Party,353
Navalgund,6,AJAY MALLIKARJUN HUGAR,Kalyana Rajya Pragathi Paksha,152
Navalgund,7,MAILARAPPA BHARAMAPPA CHAVADI,Karnataka Rashtra Samithi,107
Navalgund,8,MOHAN DEVARADDI MASTI,Uttama Prajaakeeya Party,401
Navalgund,9,MALLAPPA KRISHNAPPA HEBASUR,Independent,131
Navalgund,10,MALLIKARJUNGOUDA GIRIYAPPAGOUDA BALANGOUDRA,Independent,161
Navalgund,11,MABUSAB MAKTUMSAB YARAGUPPI,Independent,454
Navalgund,12,VINAYAKUMAR PARAPPA MYAGERI,Independent,285
Navalgund,13,SHANKRAPPA RUDRAPPA AMBALI,Independent,1134
Navalgund,14,NOTA,None of the Above,1120
Kundgol,1,KUSUMAVATHI CHANNABASAPPA SHIVALLI,Indian National Congress,40764
Kundgol,2,NIRANJANAYYA RUDRAYYA MANAKATTIMATH,Aam Aadmi Party,620
Kundgol,3,M R PATIL,Bharatiya Janata Party,76105
Kundgol,4,HAZRATALI SHAIKH JODAMANI,Janata Dal (Secular),4304
Kundgol,5,YELLAPPA HANAMAPPA DABAGONDI,Kalyana Rajya Pragathi Paksha,202
Kundgol,6,SURESH KURABAGATTI,Karnataka Rashtra Samithi,68
Kundgol,7,KUTBUDDIN IMAMASAB BELAGALI,Independent,64
Kundgol,8,GANGADHAR SHIVARADDI KHANDEGOUDRU,Independent,194
Kundgol,9,CHANDAPEER HAJARESAB BANKAPUR,Independent,79
Kundgol,10,MALLIKARJUN KALLAPPA TOTAGER,Independent,128
Kundgol,11,MAHAMMADAHANIPH RAJESAB KARADI,Independent,98
Kundgol,12,VIRUPAKSHAGOUDA NAGANAGOUDA FAKKIRAGOUDRA,Independent,257
Kundgol,13,SHIVANAGOUDA BASANAGOUDA KURATTI,Independent,777
Kundgol,14,CHIKKANAGOUDRA SIDDANAGOUDA ISWARAGOUDA,Independent,30425
Kundgol,15,NOTA,None of the Above,1001
Dharwad,1,AMRUT AYYAPPA DESAI,Bharatiya Janata Party,71296
Dharwad,2,MANJUNATH LAXMAPPA HAGEDAR,Janata Dal (Secular),921
Dharwad,3,VINAY KULKARNI,Indian National Congress,89333
Dharwad,4,PRAVEEN SANGANGOUD PATIL,Uttama Prajaakeeya Party,659
Dharwad,5,MADHULATA GOUDAR,Socialist Unity Centre Of India (COMMUNIST),246
Dharwad,6,SATTEVVA JAMANAL,Kalyana Rajya Pragathi Paksha,128
Dharwad,7,SIDDU BAGUR,Karnataka Rashtra Samithi,63
Dharwad,8,ANNA MANJU MANGALAGATTI,Independent,129
Dharwad,9,KANTIMATH RAJASHEKHARAYYA VIRUPAKSHAYYA,Independent,238
Dharwad,10,SHAKEEL ABDULSATTAR DODVAD,Independent,879
Dharwad,11,SHASHIKIRAN NADAKATTI,Independent,250
Dharwad,12,NOTA,None of the Above,1521
Hubli-Dharwad-East,1,Dr. KRANTHI KIRAN,Bharatiya Janata Party,53056
Hubli-Dharwad-East,2,ABBAYYA PRASAD,Indian National Congress,85426
Hubli-Dharwad-East,3,BASAVARAJ TERDAL,Aam Aadmi Party,568
Hubli-Dharwad-East,4,HALAHARAVI VEERABADRAPPA,Janata Dal (Secular),900
Hubli-Dharwad-East,5,CHANDRAKANTH HANJAGI,Karnataka Rashtra Samithi,90
Hubli-Dharwad-East,6,DURGAPPA KASHAPPA BIJAWAD,All India Majlis-E-Ittehadul Muslimeen,5644
Hubli-Dharwad-East,7,LAXMAN MORAB,Hindustan Janta Party Secular,87
Hubli-Dharwad-East,8,GUNTRAL VIJAY MAHADEVAPPA,Social Democratic Party Of India,1360
Hubli-Dharwad-East,9,SHOBHA PALAVAI,Kalyana Rajya Pragathi Paksha,211
Hubli-Dharwad-East,10,DEVENDRA.B.LINGADAL,Independent,145
Hubli-Dharwad-East,11,VENKAPPA F SIDDANATH,Independent,355
Hubli-Dharwad-East,12,NOTA,None of the Above,798
Hubli-Dharwad-Central,1,JAGADISH SHETTAR,Indian National Congress,60775
Hubli-Dharwad-Central,2,MAHESH TENGINAKAI,Bharatiya Janata Party,95064
Hubli-Dharwad-Central,3,REVANASIDDAPPA.M. HOSAMANI (DESAI),Bahujan Samaj Party,368
Hubli-Dharwad-Central,4,VIKAS SOPPIN,Aam Aadmi Party,468
Hubli-Dharwad-Central,5,MAHANTAWODEYAR SIDDALINGESHWARGOUDA,Janata Dal (Secular),513
Hubli-Dharwad-Central,6,SHIVARAJ.K. SHIVANAGOUDRA,Uttama Prajaakeeya Party,435
Hubli-Dharwad-Central,7,MEGHARAJ S/O MAREPPA HIREMANI,Lok Shakti,109
Hubli-Dharwad-Central,8,RAGHAVENDRA PRAKASH KATHARE,Hindustan Janta Party Secular,121
Hubli-Dharwad-Central,9,S. S. PATIL,Karnataka Janaseve Party,60
Hubli-Dharwad-Central,10,SHAILENDRA PATIL,Karnataka Rashtra Samithi,62
Hubli-Dharwad-Central,11,KALAL TAKAPPA S/O YALLAPPA,Independent,51
Hubli-Dharwad-Central,12,MAULALI RAJESAB SANSHI,Independent,107
Hubli-Dharwad-Central,13,RAJU ANANTSA NAIKWADI,Independent,97
Hubli-Dharwad-Central,14,BADANGKAR SABAJI,Independent,126
Hubli-Dharwad-Central,15,SAULAM JOSEPH,Independent,300
Hubli-Dharwad-Central,16,BADNI HEMARAJ ADIVEPPA,Independent,494
Hubli-Dharwad-Central,17,NOTA,None of the Above,1251
Hubli-Dharwad-West,1,ARVIND BELLAD,Bharatiya Janata Party,101410
Hubli-Dharwad-West,2,ARAVIND. M.,Aam Aadmi Party,784
Hubli-Dharwad-West,3,GURURAJ ISTALINGAPPA HUNASIMARAD,Janata Dal (Secular),1195
Hubli-Dharwad-West,4,DEEPAK CHINCHORE,Indian National Congress,62717
Hubli-Dharwad-West,5,VADIRAJ MADHUSUDHAN MANNARI (PANDURANGI),All India Hindustan Congress Party,244
Hubli-Dharwad-West,6,M.D. ROTTIGAWAD (M.D.R),Karnataka Rashtra Samithi,115
Hubli-Dharwad-West,7,VINOD DASHARATH GHODKE,"Proutist Bloc, India",71
Hubli-Dharwad-West,8,SAROJA. F. NAGENDRAGAD.,Indian Movement Party,104
Hubli-Dharwad-West,9,SANTOSH NANDUR,Uttama Prajaakeeya Party,426
Hubli-Dharwad-West,10,BASAVARAJ MALAKARI,Independent,780
Hubli-Dharwad-West,11,BHANUBEE SHAIKH URF HOSAMANI,Independent,67
Hubli-Dharwad-West,12,MOHAMMED ISMAIL MUKTI,Independent,119
Hubli-Dharwad-West,13,DARAGAD RAJESAB MOULASAB,Independent,293
Hubli-Dharwad-West,14,SHIDARAYA. M. KENCHANNAVAR,Independent,163
Hubli-Dharwad-West,15,SHIVRAJ MAKADAWALE,Independent,271
Hubli-Dharwad-West,16,NOTA,None of the Above,1808
Kalghatgi,1,CHABBI NAGARAJ,Bharatiya Janata Party,71404
Kalghatgi,2,MANJUNATH JAKKANNAVAR,Aam Aadmi Party,499
Kalghatgi,3,VEERAPPA BASAPPA SHEEGIGATTI,Janata Dal (Secular),891
Kalghatgi,4,SANTOSH.S.LAD,Indian National Congress,85761
Kalghatgi,5,CHANDRASHEKHAR.S.MATHAD,Karnataka Rashtra Samithi,625
Kalghatgi,6,BASAVALINGAPPA IRAPPA BUGADI,Uttama Prajaakeeya Party,244
Kalghatgi,7,MALLIKA,"Proutist Bloc, India",79
Kalghatgi,8,BUDANKHAN.M.M,Indian Movement Party,115
Kalghatgi,9,G BASAVARAJ,Independent,255
Kalghatgi,10,BASAVARAJ DODAMANI,Independent,675
Kalghatgi,11,BASAVARAJ GANGAPPA SANGANNAVAR,Independent,179
Kalghatgi,12,SHANKAR NINGAPPA HUDDAR,Independent,389
Kalghatgi,13,NOTA,None of the Above,1137
Haliyal,1,GHOTNEKAR SHRIKANTH LAKSHMAN,Janata Dal (Secular),28814
Haliyal,2,DESHPANDE RAGHUNATH,Indian National Congress,57240
Haliyal,3,MANNURAPPA KALLAPPA JARI,Bahujan Samaj Party,452
Haliyal,4,GURUDIPASING HARBANSSING SANDHU,Aam Aadmi Party,481
Haliyal,5,SUNIL HEGADE,Bharatiya Janata Party,53617
Haliyal,6,B G S,Karnataka Rashtra Samithi,477
Haliyal,7,MALLAYYA GANGAYYA HIREMATH,Uttama Prajaakeeya Party,192
Haliyal,8,ELIYAS KATI,Independent,162
Haliyal,9,JAHANGIR BABA KHAN,Independent,451
Haliyal,10,NOTA,None of the Above,941
Karwar,1,ASHISH PRABHAKAR GAONKAR,Aam Aadmi Party,1382
Karwar,2,CHAITRA CHANDRAHAS KOTHARKAR,Janata Dal (Secular),2918
Karwar,3,ROOPALI SANTOSH NAIK,Bharatiya Janata Party,75307
Karwar,4,SATISH KRISHNA SAIL,Indian National Congress,77445
Karwar,5,VINAYAK MANGESH NAIK,Karnataka Rashtra Samithi,695
Karwar,6,KUMAR SOMKANT NAIK,Independent,460
Karwar,7,KUNDABAI PARULEKAR,Independent,414
Karwar,8,NAGARAJ A. SHIRALI,Independent,463
Karwar,9,BHAT GANGADHAR,Independent,2235
Karwar,10,MUKUND MADHU HULSWAR,Independent,650
Karwar,11,HOSBANNA KRISHNA NAYAK,Independent,525
Karwar,12,NOTA,None of the Above,1773
Kumta,1,DINAKAR KESHAV SHETTY,Bharatiya Janata Party,59965
Kumta,2,ALVA NIVEDITH,Indian National Congress,19270
Kumta,3,ROOPA GAJANAN NAIK,Aam Aadmi Party,1960
Kumta,4,SURAJ NAIK SONI,Janata Dal (Secular),59289
Kumta,5,DINESHCHANDRA N ANGADIKERI,Lok Shakti,707
Kumta,6,NAGARAJ SRIDHAR SHET,Rashtriya Jansambhavna Party,458
Kumta,7,ISHWAR GOUDA,Independent,3588
Kumta,8,GANI IMAMSAB JAINUDDIN,Independent,686
Kumta,9,SUBRAHMANYA BHAT MADGUNI,Independent,522
Kumta,10,NOTA,None of the Above,2085
Bhatkal,1,DR.NASEEM KHAN,Aam Aadmi Party,1007
Bhatkal,2,NAGENDRA NAIK,Janata Dal (Secular),1502
Bhatkal,3,MANKAL VAIDYA,Indian National Congress,100442
Bhatkal,4,SUNIL B. NAIK,Bharatiya Janata Party,67771
Bhatkal,5,PRAKASH PINTO,Bharathiya Belaku Party,627
Bhatkal,6,YOGESH NAIK,Uttama Prajaakeeya Party,646
Bhatkal,7,GUNAVANTE SHANKAR GOUDA,Karnataka Rashtra Samithi,558
Bhatkal,8,GAFOOR SAB,Independent,662
Bhatkal,9,MOHAMMED ZABROOD KHATEEB,Independent,410
Bhatkal,10,NOTA,None of the Above,1223
Sirsi,1,UPENDRA PAI,Janata Dal (Secular),9138
Sirsi,2,BHIMANNA T. NAIK,Indian National Congress,76887
Sirsi,3,HITENDRA NAIK,Aam Aadmi Party,1449
Sirsi,4,KAGERI VISHWESHWAR HEGDE,Bharatiya Janata Party,68175
Sirsi,5,DINESH NAIK,Indian Movement Party,361
Sirsi,6,VISHWANATH G NAIK,Karnataka Janaseve Party,151
Sirsi,7,SUNIL PAWAR,Uttama Prajaakeeya Party,483
Sirsi,8,ABHIRAM HEGDE HALALLA,Independent,606
Sirsi,9,UMESH KRISHNAPPA DAIVADNYA,Independent,384
Sirsi,10,GOPAL DEVADIGA,Independent,1266
Sirsi,11,NOTA,None of the Above,1638
Yellapur,1,ARABAIL HEBBAR SHIVARAM,Bharatiya Janata Party,74699
Yellapur,2,ANDALAGI VEERABHADRAGOUDA SHIVANAGOUD PATIL,Indian National Congress,70695
Yellapur,3,NAGESH HONNAYYA NAIK,Janata Dal (Secular),1662
Yellapur,4,MANJUNATH LAVA KULUMKAR,Aam Aadmi Party,192
Yellapur,5,MANJUNATH SHIRAHATTI,Karnataka Rashtra Samithi,120
Yellapur,6,SANTOSH MANJUNATH SHET RAIKAR,Kalyana Rajya Pragathi Paksha,302
Yellapur,7,ANAND GANAPATI BHAT,Independent,295
Yellapur,8,CHIDANAND H HARIJAN,Independent,255
Yellapur,9,BANSODE LAXMAN,Independent,661
Yellapur,10,NOTA,None of the Above,1457
Hangal,1,MANOHAR HANUMANTAPPA TAHASILDAR,Janata Dal (Secular),8834
Hangal,2,SHIVARAJ SAJJANAR,Bharatiya Janata Party,72645
Hangal,3,MANE SRINIVAS,Indian National Congress,94590
Hangal,4,SAIKUMAR V PAWAR,Aam Aadmi Party,723
Hangal,5,UDACHAPPA UDDANAKAL,Karnataka Rashtra Samithi,173
Hangal,6,PAMPAPATI S K,Kalyana Rajya Pragathi Paksha,216
Hangal,7,BOVI (BARKI) MANJUNATH,Indian Movement Party,55
Hangal,8,SUBRAMANYA ANANT HEBBAR,Hindustan Janta Party Secular,111
Hangal,9,MALLIKARJUN (RAJANNA) C HAVERI,Independent,134
Hangal,10,SHIDDU K PUJAR,Independent,225
Hangal,11,SHRINIVAS DEVENDRAPPA SANKAPALE,Independent,515
Hangal,12,HONNAPPA HANAMANTAPPA AKKIVALLI,Independent,326
Hangal,13,NOTA,None of the Above,725
Shiggaon,1,BASAVARAJ BOMMAI,Bharatiya Janata Party,100016
Shiggaon,2,MAHABOOBSAB DADUSAB KALEBAG,Aam Aadmi Party,1175
Shiggaon,3,PATHAN YASIRAHMEDKHAN,Indian National Congress,64038
Shiggaon,4,SHASHIDHAR YELIGAR,Janata Dal (Secular),13928
Shiggaon,5,KHAJAMOHIDDIN GUDAGERI,Indian Movement Party,200
Shiggaon,6,SHAMBULINGA HUKKERI,Karnataka Rashtra Samithi,152
Shiggaon,7,JAGADISH YALLAPPA BANKAPUR,Independent,141
Shiggaon,8,MANJAKKA RUKKAVVA PUJAR,Independent,216
Shiggaon,9,VIRUPAKSHAGOUDA NAGANAGOUDA FAKKIRAGOUDRA,Independent,565
Shiggaon,10,DR. U. P. SHIVANANDA,Independent,260
Shiggaon,11,NOTA,None of the Above,1336
Haveri,1,GAVISIDDAPPA DYAMANNAVAR,Bharatiya Janata Party,81912
Haveri,2,TUKARAM H MALAGI,Janata Dal (Secular),1206
Haveri,3,RUDRAPPA MANAPPA LAMANI,Indian National Congress,93827
Haveri,4,SUJATA. P. CHAVAN,Aam Aadmi Party,994
Haveri,5,"ANNAPPA, HANCHINAMANI",Swayam Krushi Party,174
Haveri,6,CHANDANRANI DODAMANI,Kalyana Rajya Pragathi Paksha,149
Haveri,7,PREMA KALKERI,Karnataka Rashtra Samithi,148
Haveri,8,DURAGESH GUDDAPPA MEGALAMANI,Independent,281
Haveri,9,PRADEEP MALAGAVI,Independent,700
Haveri,10,RAJENDRASWAMY HIREMATH,Independent,577
Haveri,11,NOTA,None of the Above,1415
Byadgi,1,Basavaraj Neelappa Shivannanavar,Indian National Congress,97740
Byadgi,2,M N NAIK,Aam Aadmi Party,772
Byadgi,3,Ballari Virupakshappa Rudrappa,Bharatiya Janata Party,73899
Byadgi,4,Sunita M Pujar,Janata Dal (Secular),849
Byadgi,5,Lohitha Namadeva,Uttama Prajaakeeya Party,480
Byadgi,6,Vishwanatharaddi D Radder,Karnataka Rashtra Samithi,430
Byadgi,7,SAYED FAHEEM GUDAGERI,Indian Movement Party,202
Byadgi,8,NOTA,None of the Above,1491
Hirekerur,1,Ujaneshwar Basavannappa Banakar,Indian National Congress,85378
Hirekerur,2,Jayananda Javannanavar,Janata Dal (Secular),1847
Hirekerur,3,Basavanagouda Patil,Bharatiya Janata Party,70358
Hirekerur,4,Rajashekhar Kallappa Dudihalli,Aam Aadmi Party,451
Hirekerur,5,Kodeppa Sangannanavar,Karnataka Rashtra Samithi,158
Hirekerur,6,Harish Ingalagondi,Karnataka Jantha Paksha,210
Hirekerur,7,Ravi Olekar,Independent,142
Hirekerur,8,NOTA,None of the Above,953
Ranibennur,1,ARUNKUMAR GUTTUR,Bharatiya Janata Party,62030
Ranibennur,2,PRAKASH KOLIWAD,Indian National Congress,71830
Ranibennur,3,MANJUNATH GOUDASHIVANNANAVARA,Janata Dal (Secular),5840
Ranibennur,4,HANUMANTHAPPA KABBAR,Aam Aadmi Party,308
Ranibennur,5,CHANNAVEERAYYA NAGAYYA HOLAGUNDIMATH,Karnataka Rashtra Samithi,144
Ranibennur,6,TALAWAR SHIVAKUMAR,Indian Movement Party,198
Ranibennur,7,MANJUNATH N,Swayam Krushi Party,286
Ranibennur,8,R SHANKAR,Nationalist Congress Party,37559
Ranibennur,9,SANTOSHKUMAR E KYATAPPANAVAR,Uttama Prajaakeeya Party,836
Ranibennur,10,NARAYANA PATIL,Independent,126
Ranibennur,11,MOHAN HANDE,Independent,298
Ranibennur,12,MANJUNATHA K,Independent,169
Ranibennur,13,RUDRAMUNI RAMAKKANAVARA,Independent,417
Ranibennur,14,SANTOSHKUMAR PATIL,Independent,11395
Ranibennur,15,NOTA,None of the Above,1584
Hadagalli,1,PUTHRESH KAYANNANAVAR,Janata Dal (Secular),1847
Hadagalli,2,KRISHNA NAYAKA.,Bharatiya Janata Party,73200
Hadagalli,3,P.T.PARAMESHWARA NAIK,Indian National Congress,71756
Hadagalli,4,N. SREEDHAR NAIK,Aam Aadmi Party,879
Hadagalli,5,L.ANILAKUMARA,Karnataka Rashtra Samithi,408
Hadagalli,6,D.BHOJYA NAIK,Kalyana Rajya Pragathi Paksha,286
Hadagalli,7,LAKKAPPA ANGADI,Rani Chennamma Party,361
Hadagalli,8,S.MALLESHANAIK,Independent,396
Hadagalli,9,NOTA,None of the Above,823
Hagaribommanahalli,1,H THIPPESWAMY,Bahujan Samaj Party,436
Hagaribommanahalli,2,Nemarajanaik.K,Janata Dal (Secular),84023
Hagaribommanahalli,3,L B P Bheema Naik,Indian National Congress,72679
Hagaribommanahalli,4,Ramanna B,Bharatiya Janata Party,27026
Hagaribommanahalli,5,Dr.V.H.Hanumanthappa,Aam Aadmi Party,1622
Hagaribommanahalli,6,Lalyanaik,Indian Movement Party,214
Hagaribommanahalli,7,C Shiva Murthy,Kalyana Rajya Pragathi Paksha,185
Hagaribommanahalli,8,Suguna K,Nationalist Congress Party,148
Hagaribommanahalli,9,H V Santosh Kumar,Karnataka Rashtra Samithi,181
Hagaribommanahalli,10,J Anjinappa,Independent,374
Hagaribommanahalli,11,H MANJUNATHA,Independent,386
Hagaribommanahalli,12,A M A Suresh Kumara,Independent,945
Hagaribommanahalli,13,NOTA,None of the Above,846
Vijayanagara,1,H.R.GAVIYAPPA,Indian National Congress,104863
Vijayanagara,2,DASARA SHANKAR,Aam Aadmi Party,702
Vijayanagara,3,SIDDHARTH SINGH A THAKUR,Bharatiya Janata Party,71140
Vijayanagara,4,KALLESHI K S,Uttama Prajaakeeya Party,702
Vijayanagara,5,K.MANJUNATHA,Karnataka Rashtra Samithi,127
Vijayanagara,6,A.VIJAY KUMAR,Kalyana Rajya Pragathi Paksha,156
Vijayanagara,7,UMESHA K,Independent,62
Vijayanagara,8,KARTHICK R S,Independent,79
Vijayanagara,9,KURUBARA HALAPPA,Independent,409
Vijayanagara,10,PA.YA.GANESH,Independent,320
Vijayanagara,11,S K CHOUDAPPA,Independent,415
Vijayanagara,12,SHIVANANDANA,Independent,263
Vijayanagara,13,NOTA,None of the Above,1599
Kampli,1,UTHTHANURU NAGARAJ,Bahujan Samaj Party,652
Kampli,2,J N GANESH,Indian National Congress,100424
Kampli,3,H PRAHLAD NAYAK,Aam Aadmi Party,1001
Kampli,4,RAJU NAYAKA,Janata Dal (Secular),1374
Kampli,5,T H SURESH BABU,Bharatiya Janata Party,76333
Kampli,6,A DEVADAS,Socialist Unity Centre Of India (COMMUNIST),585
Kampli,7,RAMAKKA T,Desh Prem Party,518
Kampli,8,NOTA,None of the Above,997
Siruguppa,1,B. M. NAGARAJA,Indian National Congress,90862
Siruguppa,2,B. PARAMESHWARA NAYAKA,Janata Dal (Secular),992
Siruguppa,3,B. LOKESHA NAYAKA,Aam Aadmi Party,491
Siruguppa,4,M. S. SOMALINGAPPA,Bharatiya Janata Party,53830
Siruguppa,5,T. DARAPPA NAIK,Kalyana Rajya Pragathi Paksha,18652
Siruguppa,6,DODDAYALLAPPA,Karnataka Rashtra Samithi,526
Siruguppa,7,M. H. VEERESHAPPA,All India Forward Bloc,366
Siruguppa,8,M. S. GADILINGAPPA,Independent,370
Siruguppa,9,HANUMANTHAPPA SHALURU,Independent,372
Siruguppa,10,NOTA,None of the Above,1645
Bellary,1,Jaliyal Rudrappa,Aam Aadmi Party,767
Bellary,2,B Nagendra,Indian National Congress,103836
Bellary,3,Nayakar Krishnappa,Bahujan Samaj Party,949
Bellary,4,B Sreeramulu,Bharatiya Janata Party,74536
Bellary,5,Valmiki Ugandara,Karnataka Rashtra Samithi,532
Bellary,6,T H Mallikarjuna,Independent,354
Bellary,7,K Shambhulinga,Independent,249
Bellary,8,Shanmukha Naveen Babu,Independent,327
Bellary,9,NOTA,None of the Above,1142
Bellary City,1,ANIL H LAD,Janata Dal (Secular),610
Bellary City,2,V.DODDA KESHAVAREDDY,Aam Aadmi Party,716
Bellary City,3,NARA BHARATH REDDY,Indian National Congress,86440
Bellary City,4,BABU KURUVALLI,Bahujan Samaj Party,515
Bellary City,5,G. SOMASEKHARA REDDY,Bharatiya Janata Party,37155
Bellary City,6,ALESHWARA GOWDA.H,Janahitha Paksha,172
Bellary City,7,Dr: K.R. RAVI KUMAR,Desh Prem Party,395
Bellary City,8,GALI LAKSHMI ARUNA,Kalyana Rajya Pragathi Paksha,48577
Bellary City,9,R VENUGOPAL,Samajwadi Party,194
Bellary City,10,C.SHARANA BASAPPA,Republican Party of India (Karnataka),144
Bellary City,11,ALLIPUR SRINIVAS REDDY,Karnataka Rashtra Samithi,123
Bellary City,12,R. SOMASHEKAR GOUD,Socialist Unity Centre Of India (COMMUNIST),247
Bellary City,13,B.ARUN KUMAR,Independent,85
Bellary City,14,ASHOK KUMAR REDDY P.V,Independent,196
Bellary City,15,AHMED MOHAMMED,Independent,125
Bellary City,16,UPPAR ANIL KUMAR,Independent,242
Bellary City,17,K.AJAY KUMAR,Independent,90
Bellary City,18,P CHAND BASHA,Independent,80
Bellary City,19,ZAKIR.M.I.M,Independent,396
Bellary City,20,BHARATH,Independent,321
Bellary City,21,MOHAMMED RIYAZ AHMED,Independent,144
Bellary City,22,DR.B.R.MANJUNATHA,Independent,81
Bellary City,23,S.B.SHIVA KUMAR,Independent,109
Bellary City,24,SRIDHAR.K,Independent,210
Bellary City,25,NOTA,None of the Above,983
Sandur,1,K.R. KUMARASWAMY,Aam Aadmi Party,764
Sandur,2,E. TUKARAM,Indian National Congress,85223
Sandur,3,SHAKUNTALA DEVI LAKSHMI PRIYA,Bahujan Samaj Party,933
Sandur,4,SHILPA RAGHAVENDRA,Bharatiya Janata Party,49701
Sandur,5,N. SOMAPPA,Janata Dal (Secular),2617
Sandur,6,K.S. DIVAKAR,Kalyana Rajya Pragathi Paksha,31375
Sandur,7,VEBA KUMARI,Karnataka Rashtra Samithi,562
Sandur,8,GEREGAL PAPAYYA,Independent,593
Sandur,9,NOTA,None of the Above,1065
Kudligi,1,PUJAR BHEEMAPPA,Janata Dal (Secular),3138
Kudligi,2,LOKESH. V. NAYAKA,Bharatiya Janata Party,50403
Kudligi,3,SRINIVAS. N.,Aam Aadmi Party,1341
Kudligi,4,SRINIVAS N T,Indian National Congress,104753
Kudligi,5,CHITTAR CHANNAVEERA,Karnataka Rashtra Samithi,918
Kudligi,6,H. VEERANNA,Communist Party of India,1513
Kudligi,7,SHARANESHA. M.,Uttama Prajaakeeya Party,602
Kudligi,8,K. NAKULAPPA,Independent,338
Kudligi,9,NOTA,None of the Above,804
Molakalmuru,1,N.Y.GOPALAKRISHNA,Indian National Congress,109459
Molakalmuru,2,S.THIPPESWAMY,Bharatiya Janata Party,87310
Molakalmuru,3,M.O.MANJUNATHA SWAMY NAYAKA,Bahujan Samaj Party,899
Molakalmuru,4,VEERABHADRAPPA,Janata Dal (Secular),1594
Molakalmuru,5,S.T.HAREESH NAYAKA,Aam Aadmi Party,243
Molakalmuru,6,MALLIKARJUNA.T,Karnataka Rashtra Samithi,268
Molakalmuru,7,O.GOVINDA,Independent,610
Molakalmuru,8,N.MALLAIAH SWAMY,Independent,549
Molakalmuru,9,T.SHASHIKUMAR,Independent,329
Molakalmuru,10,K.P.HARISH KUMAR,Independent,583
Molakalmuru,11,NOTA,None of the Above,1561
Challakere,1,ANIL KUMAR. R,Bharatiya Janata Party,22894
Challakere,2,MARAKKA,Aam Aadmi Party,3072
